score,language,counter
-0.03,fr,1
-0.03,ja,1
-0.03,pl,1
-0.03,tl,1
-0.03,und,1
-0.03,zh,2
-0.02,en,88
-0.01,en,29
0.0,am,4
0.0,ar,515
0.0,art,4
0.0,bg,1
0.0,bn,107
0.0,ca,130
0.0,ckb,2
0.0,cs,23
0.0,cy,7504
0.0,da,25
0.0,de,698
0.0,el,120
0.0,en,34621
0.0,es,2313
0.0,et,62
0.0,eu,13
0.0,fa,142
0.0,fi,71
0.0,fr,1322
0.0,gu,48
0.0,hi,914
0.0,ht,82
0.0,hu,10
0.0,hy,1
0.0,in,990
0.0,is,6
0.0,it,722
0.0,iw,19
0.0,ja,735
0.0,km,1
0.0,kn,25
0.0,ko,18
0.0,lo,1
0.0,lt,2
0.0,lv,6
0.0,ml,38
0.0,mr,82
0.0,my,1
0.0,ne,15
0.0,nl,160
0.0,no,3
0.0,or,17
0.0,pa,20
0.0,pl,220
0.0,ps,2
0.0,pt,396
0.0,qam,35
0.0,qst,7
0.0,ro,25
0.0,ru,32
0.0,sd,2
0.0,si,16
0.0,sl,8
0.0,sv,24
0.0,ta,232
0.0,te,38
0.0,th,338
0.0,tl,356
0.0,tr,8
0.0,ug,1
0.0,uk,23
0.0,und,2739
0.0,ur,209
0.0,vi,12
0.0,zh,192
0.0,zxx,81
0.01,en,43
0.02,en,30
0.03,en,725
0.03,es,3
0.03,fr,1
0.04,ca,1
0.04,en,54
0.05,en,528
0.05,es,16
0.05,et,1
0.05,it,2
0.05,ja,1
0.05,und,1
0.05,ur,1
0.06,en,45
0.06,ro,1
0.07,en,41
0.07,in,1
0.08,cy,2
0.08,en,756
0.08,es,2
0.08,hi,1
0.08,in,2
0.08,ja,1
0.08,nl,1
0.08,tl,1
0.08,und,2
0.09,en,48
0.09,in,1
0.1,de,2
0.1,en,640
0.1,es,2
0.1,ja,1
0.1,nl,1
0.1,und,1
0.11,en,43
0.11,pl,1
0.12,en,66
0.13,de,1
0.13,en,653
0.13,es,5
0.13,fr,2
0.13,in,1
0.13,it,1
0.13,ro,1
0.13,tl,1
0.13,und,4
0.14,en,57
0.14,es,1
0.14,in,1
0.15,cy,4
0.15,el,1
0.15,en,791
0.15,es,2
0.15,fr,1
0.15,it,1
0.15,ja,1
0.15,pt,1
0.15,th,1
0.15,tl,1
0.16,en,68
0.16,fr,1
0.17,en,133
0.18,cy,1
0.18,en,555
0.18,es,4
0.18,fi,1
0.18,fr,3
0.18,hi,1
0.18,in,2
0.18,it,1
0.18,ja,3
0.19,en,62
0.19,tl,1
0.2,ca,1
0.2,cy,6
0.2,de,1
0.2,en,877
0.2,es,3
0.2,et,1
0.2,fr,7
0.2,in,1
0.2,it,16
0.2,ja,2
0.2,nl,1
0.2,pt,1
0.2,ro,1
0.2,tl,3
0.2,und,2
0.21,en,44
0.22,en,92
0.22,ja,1
0.23,ca,1
0.23,cy,2
0.23,de,1
0.23,en,754
0.23,es,1
0.23,in,1
0.23,ja,1
0.23,ne,1
0.23,pt,1
0.23,ro,1
0.23,tl,1
0.23,und,1
0.24,en,81
0.24,fr,1
0.25,cy,2
0.25,en,711
0.25,es,2
0.25,fr,3
0.25,hi,1
0.25,in,4
0.25,ja,2
0.25,ko,1
0.25,ro,1
0.25,tl,1
0.25,und,1
0.26,en,86
0.26,und,1
0.27,cy,5
0.27,de,2
0.27,en,1064
0.27,es,1
0.27,fr,6
0.27,hi,2
0.27,in,4
0.27,it,4
0.27,ja,1
0.27,nl,4
0.27,pl,1
0.27,pt,1
0.27,tl,3
0.27,und,1
0.28,en,55
0.28,fr,1
0.29,en,92
0.29,fr,2
0.3,cy,1
0.3,en,812
0.3,es,1
0.3,fr,2
0.3,in,4
0.3,it,1
0.3,lt,1
0.3,ro,1
0.3,und,5
0.31,en,74
0.31,es,1
0.32,ca,1
0.32,cy,2
0.32,en,1131
0.32,es,13
0.32,fr,1
0.32,in,3
0.32,it,1
0.32,ja,2
0.32,no,1
0.32,pl,1
0.32,tl,2
0.32,und,1
0.33,ca,1
0.33,en,101
0.33,es,1
0.33,ht,1
0.33,pt,1
0.34,ca,1
0.34,cy,1
0.34,da,1
0.34,en,826
0.34,es,95
0.34,et,3
0.34,fi,1
0.34,fr,6
0.34,hi,3
0.34,in,3
0.34,it,72
0.34,ja,5
0.34,nl,2
0.34,pt,2
0.34,tl,3
0.34,und,7
0.35,en,96
0.35,und,1
0.36,cy,1
0.36,en,1678
0.36,es,4
0.36,fr,3
0.36,hi,1
0.36,in,4
0.36,is,1
0.36,it,1
0.36,ja,2
0.36,pa,1
0.36,pl,1
0.36,pt,4
0.36,ro,1
0.36,th,1
0.36,tl,1
0.36,und,5
0.36,zh,1
0.37,en,100
0.37,fr,2
0.37,hi,2
0.37,nl,1
0.38,ar,1
0.38,ca,1
0.38,cs,1
0.38,cy,5
0.38,de,1
0.38,en,737
0.38,es,4
0.38,fi,1
0.38,fr,3
0.38,in,1
0.38,it,1
0.38,ja,2
0.38,pl,1
0.38,tl,1
0.39,en,96
0.39,tl,1
0.4,ar,1
0.4,ca,1
0.4,cy,2
0.4,en,1383
0.4,es,12
0.4,fr,6
0.4,hi,2
0.4,in,3
0.4,it,6
0.4,ja,7
0.4,pt,1
0.4,tl,4
0.4,und,7
0.4,zh,1
0.41,en,74
0.41,es,1
0.42,ca,1
0.42,cy,4
0.42,de,1
0.42,en,1577
0.42,es,13
0.42,fr,6
0.42,hi,2
0.42,ht,2
0.42,in,4
0.42,ja,7
0.42,nl,1
0.42,pl,1
0.42,pt,4
0.42,ro,1
0.42,th,1
0.42,tl,12
0.42,und,25
0.42,vi,1
0.42,zh,2
0.43,de,1
0.43,en,103
0.43,ht,1
0.43,und,1
0.44,ar,1
0.44,ca,1
0.44,cy,2
0.44,de,3
0.44,en,1285
0.44,es,3
0.44,fi,1
0.44,fr,6
0.44,gu,1
0.44,hi,2
0.44,ht,1
0.44,in,2
0.44,it,1
0.44,ja,2
0.44,nl,1
0.44,tl,2
0.44,und,1
0.45,cy,2
0.45,en,96
0.45,es,1
0.46,cy,1
0.46,da,1
0.46,en,890
0.46,es,3
0.46,fa,1
0.46,fr,18
0.46,in,2
0.46,it,1
0.46,no,1
0.46,pl,1
0.46,pt,1
0.46,tl,1
0.47,en,109
0.47,nl,1
0.48,ca,1
0.48,cs,1
0.48,de,1
0.48,en,1077
0.48,es,7
0.48,fr,21
0.48,hi,1
0.48,in,2
0.48,nl,4
0.48,tl,2
0.48,und,1
0.49,ca,1
0.49,cy,4
0.49,de,3
0.49,en,1464
0.49,es,17
0.49,et,1
0.49,fr,11
0.49,hi,1
0.49,ht,1
0.49,in,3
0.49,it,6
0.49,ja,12
0.49,mr,1
0.49,nl,1
0.49,pa,1
0.49,ro,2
0.49,tl,1
0.49,und,2
0.49,zh,1
0.5,en,176
0.5,ja,1
0.51,cy,17
0.51,en,1186
0.51,es,4
0.51,fr,1
0.51,hi,1
0.51,in,4
0.51,it,1
0.51,ja,3
0.51,pt,3
0.51,th,1
0.51,tl,2
0.51,und,1
0.51,vi,2
0.51,zh,2
0.52,en,182
0.52,fr,2
0.52,tl,1
0.53,ca,1
0.53,cy,3
0.53,de,1
0.53,en,810
0.53,es,2
0.53,fi,1
0.53,fr,8
0.53,hi,1
0.53,in,2
0.53,ja,3
0.53,pt,1
0.53,th,1
0.53,und,3
0.54,ar,4
0.54,bn,6
0.54,cs,1
0.54,cy,26
0.54,de,10
0.54,en,7805
0.54,es,22
0.54,et,7
0.54,fa,2
0.54,fi,3
0.54,fr,11
0.54,gu,1
0.54,hi,4
0.54,ht,2
0.54,in,82
0.54,it,7
0.54,ja,110
0.54,ko,3
0.54,ne,6
0.54,no,1
0.54,pl,3
0.54,pt,9
0.54,ro,6
0.54,ru,1
0.54,ta,1
0.54,th,8
0.54,tl,12
0.54,uk,1
0.54,und,20
0.54,zh,6
0.55,en,108
0.55,es,3
0.55,fr,1
0.55,hi,2
0.55,it,1
0.55,und,3
0.56,ca,1
0.56,cy,2
0.56,en,773
0.56,es,1
0.56,fr,2
0.56,pt,1
0.56,ru,1
0.56,th,1
0.56,tl,2
0.56,und,1
0.57,ar,1
0.57,de,2
0.57,en,1162
0.57,es,1
0.57,fi,1
0.57,fr,3
0.57,ht,2
0.57,in,5
0.57,ja,2
0.57,pl,1
0.57,tl,4
0.57,und,1
0.57,zh,1
0.58,en,379
0.58,es,3
0.58,et,1
0.58,fr,4
0.58,in,2
0.58,it,1
0.58,ja,1
0.58,pt,3
0.58,si,1
0.58,und,1
0.58,zh,1
0.59,ca,1
0.59,cy,3
0.59,de,1
0.59,en,851
0.59,es,8
0.59,fr,4
0.59,in,1
0.59,it,11
0.59,nl,2
0.59,no,1
0.59,pl,3
0.59,tl,1
0.59,und,6
0.6,de,2
0.6,en,1201
0.6,es,1
0.6,et,1
0.6,fr,3
0.6,hi,1
0.6,ht,6
0.6,in,1
0.6,it,3
0.6,ja,6
0.6,nl,3
0.6,pl,1
0.6,pt,1
0.6,und,5
0.61,en,588
0.61,es,14
0.61,fr,2
0.61,in,2
0.61,ja,2
0.61,pt,1
0.61,und,2
0.61,zh,1
0.62,ca,1
0.62,cy,2
0.62,de,2
0.62,en,917
0.62,es,3
0.62,et,1
0.62,fr,2
0.62,ht,1
0.62,in,3
0.62,pt,1
0.62,th,1
0.62,tl,2
0.62,und,5
0.62,ur,1
0.63,en,207
0.63,ja,2
0.64,de,1
0.64,en,1539
0.64,es,5
0.64,et,1
0.64,fr,5
0.64,in,38
0.64,ja,8
0.64,pt,1
0.64,ro,2
0.64,th,1
0.64,tl,1
0.64,und,2
0.65,de,1
0.65,en,945
0.65,es,11
0.65,fi,1
0.65,fr,13
0.65,hi,1
0.65,in,9
0.65,it,9
0.65,iw,3
0.65,ja,9
0.65,pl,3
0.65,pt,2
0.65,th,2
0.65,tl,1
0.65,und,10
0.65,zh,2
0.66,de,2
0.66,en,694
0.66,es,1
0.66,fr,1
0.66,ja,1
0.66,pt,2
0.66,tl,1
0.67,de,1
0.67,en,640
0.67,es,2
0.67,pl,3
0.67,und,1
0.68,de,1
0.68,en,790
0.68,es,2
0.68,fr,5
0.68,ht,3
0.68,in,2
0.68,it,2
0.68,ja,4
0.68,ru,1
0.68,sv,1
0.68,tl,1
0.68,zh,1
0.69,en,646
0.69,hi,1
0.69,it,1
0.7,en,607
0.7,fr,1
0.7,ja,2
0.7,tl,1
0.7,und,2
0.71,ca,1
0.71,cy,1
0.71,en,562
0.71,es,4
0.71,fr,1
0.71,in,2
0.71,it,2
0.71,nl,1
0.71,pt,1
0.72,cy,1
0.72,en,1128
0.72,es,3
0.72,fr,1
0.73,cy,1
0.73,en,544
0.73,es,1
0.73,it,2
0.73,ja,1
0.73,tl,1
0.74,ca,2
0.74,cy,1
0.74,en,1135
0.74,es,2
0.74,fr,2
0.74,in,2
0.74,it,2
0.74,ja,4
0.74,ko,1
0.74,sv,2
0.74,und,1
0.75,cy,1
0.75,de,1
0.75,en,654
0.75,es,4
0.75,it,3
0.75,ja,2
0.75,tl,1
0.76,en,1023
0.76,es,2
0.76,fr,1
0.76,in,2
0.76,pt,1
0.76,tl,2
0.76,und,2
0.77,en,534
0.77,es,1
0.77,in,1
0.77,ja,1
0.77,ro,1
0.77,und,1
0.78,de,1
0.78,en,1084
0.78,fr,2
0.78,in,1
0.78,it,1
0.78,ja,2
0.78,pl,1
0.78,ro,1
0.78,und,3
0.79,ca,1
0.79,en,636
0.79,es,1
0.79,in,1
0.79,it,1
0.79,ja,1
0.79,pt,2
0.79,tl,1
0.79,und,2
0.8,en,939
0.8,et,1
0.8,it,1
0.8,ja,3
0.8,und,2
0.81,en,1039
0.81,es,2
0.81,fr,1
0.81,hi,1
0.81,in,2
0.81,it,1
0.81,ja,7
0.81,nl,1
0.81,pl,1
0.81,pt,1
0.81,tl,1
0.81,und,1
0.81,zh,1
0.82,en,836
0.82,es,2
0.82,in,1
0.82,ja,5
0.82,pt,1
0.82,tl,1
0.82,und,1
0.82,zh,1
0.83,de,1
0.83,en,929
0.83,es,3
0.83,fr,1
0.83,hu,1
0.83,in,5
0.83,it,1
0.83,ja,6
0.83,tl,1
0.83,und,1
0.83,vi,1
0.84,de,1
0.84,en,920
0.84,es,4
0.84,fr,1
0.84,it,1
0.84,ja,4
0.84,pt,1
0.84,und,3
0.85,cy,1
0.85,en,700
0.85,fr,1
0.85,ja,3
0.85,und,1
0.85,zh,1
0.86,en,986
0.86,es,2
0.86,fr,1
0.86,in,3
0.86,it,2
0.86,ja,5
0.86,und,2
0.86,zh,1
0.87,en,905
0.87,fr,1
0.87,it,1
0.87,ja,1
0.87,ro,1
0.87,und,1
0.88,en,952
0.88,es,1
0.88,fr,1
0.88,in,1
0.88,ja,1
0.89,en,888
0.89,in,2
0.89,ja,1
0.89,tl,1
0.89,und,1
0.89,zh,1
0.9,en,910
0.9,ja,1
0.9,pt,1
0.91,en,829
0.91,ja,4
0.92,en,904
0.92,ja,1
0.92,ko,1
0.93,en,792
0.93,es,1
0.93,ja,1
0.93,ta,1
0.94,en,650
0.94,in,1
0.95,en,745
0.95,ja,1
0.95,pt,1
0.96,en,526
0.97,en,343
0.98,en,163
0.99,en,32
