score,language,counter,total_counter,normalized
-0.55,en,97,159530.0,0.0006080361060615559
-0.54,en,436,159530.0,0.0027330282705447253
-0.53,en,1679,159530.0,0.010524666206983013
-0.52,en,93,159530.0,0.0005829624522033474
-0.51,en,442,159530.0,0.002770638751332038
-0.5,en,83,159530.0,0.0005202783175578262
-0.49,en,553,159530.0,0.0034664326458973232
-0.48,en,1120,159530.0,0.007020623080298377
-0.47,en,169,159530.0,0.0010593618755093087
-0.46,en,636,159530.0,0.003986710963455149
-0.45,en,101,159530.0,0.0006331097599197643
-0.44,en,1061,159530.0,0.006650786685889801
-0.43,en,75,159530.0,0.00047013100984140914
-0.42,en,1392,159530.0,0.008725631542656554
-0.41,en,71,159530.0,0.00044505735598320066
-0.4,en,703,159530.0,0.004406694665580141
-0.39,en,93,159530.0,0.0005829624522033474
-0.38,en,581,159530.0,0.0036419482229047826
-0.37,en,55,159530.0,0.0003447627405503667
-0.36,en,1045,159530.0,0.006550492070456967
-0.35,en,99,159530.0,0.0006205729329906601
-0.34,en,670,159530.0,0.004199837021249922
-0.33,en,101,159530.0,0.0006331097599197643
-0.32,en,711,159530.0,0.004456841973296558
-0.31,en,87,159530.0,0.0005453519714160347
-0.3,en,1193,159530.0,0.007478217263210681
-0.29,en,185,159530.0,0.0011596564909421426
-0.28,en,89,159530.0,0.0005578887983451389
-0.27,en,774,159530.0,0.004851752021563342
-0.26,en,89,159530.0,0.0005578887983451389
-0.25,en,556,159530.0,0.00348523788629098
-0.24,en,90,159530.0,0.000564157211809691
-0.23,en,585,159530.0,0.003667021876762991
-0.22,en,209,159530.0,0.0013100984140913935
-0.21,en,66,159530.0,0.00041371528866044005
-0.2,en,761,159530.0,0.004770262646524165
-0.19,en,51,159530.0,0.00031968908669215823
-0.18,en,778,159530.0,0.004876825675421551
-0.17,en,86,159530.0,0.0005390835579514825
-0.16,en,40,159530.0,0.00025073653858208485
-0.15,en,901,159530.0,0.005647840531561462
-0.14,en,66,159530.0,0.00041371528866044005
-0.13,en,535,159530.0,0.003353601203535385
-0.12,en,64,159530.0,0.0004011784617313358
-0.11,en,25,159530.0,0.00015671033661380306
-0.1,en,1161,159530.0,0.007277628032345013
-0.09,en,114,159530.0,0.0007145991349589419
-0.08,en,566,159530.0,0.003547922020936501
-0.07,en,33,159530.0,0.00020685764433022003
-0.06,en,52,159530.0,0.00032595750015671036
-0.05,en,955,159530.0,0.005986334858647276
-0.04,en,68,159530.0,0.0004262521155895443
-0.03,en,766,159530.0,0.004801604713846925
-0.02,en,88,159530.0,0.0005516203848805868
-0.01,en,29,159530.0,0.00018178399047201154
0.0,en,34621,159530.0,0.217018742556259
0.01,en,43,159530.0,0.00026954177897574127
0.02,en,30,159530.0,0.00018805240393656366
0.03,en,725,159530.0,0.0045445997618002885
0.04,en,54,159530.0,0.0003384943270858146
0.05,en,528,159530.0,0.0033097223092835204
0.06,en,45,159530.0,0.0002820786059048455
0.07,en,41,159530.0,0.000257004952046637
0.08,en,756,159530.0,0.0047389205792014045
0.09,en,48,159530.0,0.00030088384629850187
0.1,en,640,159530.0,0.0040117846173133576
0.11,en,43,159530.0,0.00026954177897574127
0.12,en,66,159530.0,0.00041371528866044005
0.13,en,653,159530.0,0.004093273992352536
0.14,en,57,159530.0,0.00035729956747947096
0.15,en,791,159530.0,0.004958315050460728
0.16,en,68,159530.0,0.0004262521155895443
0.17,en,133,159530.0,0.0008336989907854322
0.18,en,555,159530.0,0.0034789694728264275
0.19,en,62,159530.0,0.00038864163480223157
0.2,en,877,159530.0,0.005497398608412211
0.21,en,44,159530.0,0.0002758101924402934
0.22,en,92,159530.0,0.0005766940387387953
0.23,en,754,159530.0,0.0047263837522723
0.24,en,81,159530.0,0.0005077414906287219
0.25,en,711,159530.0,0.004456841973296558
0.26,en,86,159530.0,0.0005390835579514825
0.27,en,1064,159530.0,0.006669591926283458
0.28,en,55,159530.0,0.0003447627405503667
0.29,en,92,159530.0,0.0005766940387387953
0.3,en,812,159530.0,0.005089951733216323
0.31,en,74,159530.0,0.000463862596376857
0.32,en,1131,159530.0,0.00708957562840845
0.33,en,101,159530.0,0.0006331097599197643
0.34,en,826,159530.0,0.0051777095217200525
0.35,en,96,159530.0,0.0006017676925970037
0.36,en,1678,159530.0,0.01051839779351846
0.37,en,100,159530.0,0.0006268413464552122
0.38,en,737,159530.0,0.004619820723374914
0.39,en,96,159530.0,0.0006017676925970037
0.4,en,1383,159530.0,0.008669215821475585
0.41,en,74,159530.0,0.000463862596376857
0.42,en,1577,159530.0,0.009885288033598696
0.43,en,103,159530.0,0.0006456465868488686
0.44,en,1285,159530.0,0.008054911301949477
0.45,en,96,159530.0,0.0006017676925970037
0.46,en,890,159530.0,0.005578887983451388
0.47,en,109,159530.0,0.0006832570676361813
0.48,en,1077,159530.0,0.006751081301322635
0.49,en,1464,159530.0,0.009176957312104307
0.5,en,176,159530.0,0.0011032407697611735
0.51,en,1186,159530.0,0.007434338368958816
0.52,en,182,159530.0,0.0011408512505484863
0.53,en,810,159530.0,0.005077414906287219
0.54,en,7805,159530.0,0.04892496709082931
0.55,en,108,159530.0,0.0006769886541716292
0.56,en,773,159530.0,0.00484548360809879
0.57,en,1162,159530.0,0.007283896445809565
0.58,en,379,159530.0,0.002375728703065254
0.59,en,851,159530.0,0.005334419858333855
0.6,en,1201,159530.0,0.007528364570927098
0.61,en,588,159530.0,0.0036858271171566477
0.62,en,917,159530.0,0.005748135146994296
0.63,en,207,159530.0,0.0012975615871622893
0.64,en,1539,159530.0,0.009647088321945715
0.65,en,945,159530.0,0.005923650724001755
0.66,en,694,159530.0,0.0043502789443991725
0.67,en,640,159530.0,0.0040117846173133576
0.68,en,790,159530.0,0.004952046636996176
0.69,en,646,159530.0,0.004049395098100671
0.7,en,607,159530.0,0.0038049269729831378
0.71,en,562,159530.0,0.0035228483670782925
0.72,en,1128,159530.0,0.0070707703880147936
0.73,en,544,159530.0,0.0034100169247163544
0.74,en,1135,159530.0,0.007114649282266659
0.75,en,654,159530.0,0.004099542405817088
0.76,en,1023,159530.0,0.006412586974236821
0.77,en,534,159530.0,0.003347332790070833
0.78,en,1084,159530.0,0.0067949601955745
0.79,en,636,159530.0,0.003986710963455149
0.8,en,939,159530.0,0.005886040243214442
0.81,en,1039,159530.0,0.006512881589669655
0.82,en,836,159530.0,0.005240393656365574
0.83,en,929,159530.0,0.005823356108568921
0.84,en,920,159530.0,0.005766940387387952
0.85,en,700,159530.0,0.004387889425186486
0.86,en,986,159530.0,0.006180655676048392
0.87,en,905,159530.0,0.00567291418541967
0.88,en,952,159530.0,0.00596752961825362
0.89,en,888,159530.0,0.0055663511565222845
0.9,en,910,159530.0,0.005704256252742431
0.91,en,829,159530.0,0.005196514762113709
0.92,en,904,159530.0,0.005666645771955118
0.93,en,792,159530.0,0.004964583463925281
0.94,en,650,159530.0,0.004074468751958879
0.95,en,745,159530.0,0.004669968031091331
0.96,en,526,159530.0,0.003297185482354416
0.97,en,343,159530.0,0.002150065818341378
0.98,en,163,159530.0,0.001021751394721996
0.99,en,32,159530.0,0.0002005892308656679
-0.97,de,4,1328.0,0.0030120481927710845
